"incident_key","occur_date","occur_time","boro","loc_of_occur_desc","precinct","jurisdiction_code","loc_classfctn_desc","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","geocoded_column"
"238487793","2021-12-31T00:00:00.000","15:36:00","BROOKLYN",,"75","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"25-44","M","BLACK","1016133","178623","40.65690638000007","-73.88509115599999","POINT (-73.88509115599999 40.65690638000007)"
"238490103","2021-12-31T00:00:00.000","19:23:00","STATEN ISLAND",,"120","0",,"PVT HOUSE","true","45-64","M","WHITE","25-44","M","WHITE","966127","162589","40.61293530900008","-74.06527594399995","POINT (-74.06527594399995 40.61293530900008)"
"238481445","2021-12-31T00:00:00.000","04:25:00","BROOKLYN",,"70","0",,,"false",,,,"25-44","M","BLACK","995435","174621","40.64597209200008","-73.95969593099994","POINT (-73.95969593099994 40.64597209200008)"
"238481446","2021-12-31T00:00:00.000","04:00:00","BRONX",,"40","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"25-44","M","WHITE HISPANIC","1007753","235353","40.81264236700008","-73.91509552299993","POINT (-73.91509552299993 40.81264236700008)"
"238483067","2021-12-31T00:00:00.000","01:05:00","MANHATTAN",,"25","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"<18","F","BLACK","1003188","231190","40.80122704700005","-73.93159858199994","POINT (-73.93159858199994 40.80122704700005)"
"238469400","2021-12-30T00:00:00.000","19:19:00","MANHATTAN",,"32","0",,,"false",,,,"25-44","M","BLACK","999874","238251","40.82061401100003","-73.94355210399993","POINT (-73.94355210399993 40.82061401100003)"
"238446654","2021-12-30T00:00:00.000","03:59:00","QUEENS",,"112","0",,,"false",,,,"25-44","M","BLACK","1026670","201978","40.72096619100006","-73.84696751699995","POINT (-73.84696751699995 40.72096619100006)"
"238433140","2021-12-29T00:00:00.000","22:39:00","BRONX",,"49","0",,,"false",,,,"18-24","F","WHITE HISPANIC","1025699","253687","40.86289784400003","-73.85015137099998","POINT (-73.85015137099998 40.86289784400003)"
"238433139","2021-12-29T00:00:00.000","19:09:00","BRONX",,"48","0",,,"false",,,,"18-24","M","BLACK","1018767","244138","40.83671851100007","-73.87526167199997","POINT (-73.87526167199997 40.83671851100007)"
"238389884","2021-12-28T00:00:00.000","21:32:00","BRONX",,"43","0",,,"false",,,,"18-24","M","BLACK","1026268","237961","40.819731930000046","-73.84819280399995","POINT (-73.84819280399995 40.819731930000046)"
"238344523","2021-12-27T00:00:00.000","20:04:00","QUEENS",,"115","0",,,"true",,,,"25-44","M","WHITE HISPANIC","1019521","212908","40.75099770800006","-73.87270083099996","POINT (-73.87270083099996 40.75099770800006)"
"238344169","2021-12-27T00:00:00.000","20:48:00","BRONX",,"43","0",,,"false",,,,"18-24","M","BLACK","1023225","237941","40.81969098600007","-73.85918708599996","POINT (-73.85918708599996 40.81969098600007)"
"238344170","2021-12-27T00:00:00.000","19:03:00","MANHATTAN",,"24","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"<18","M","BLACK","994327","230100","40.79824984200008","-73.96360558899994","POINT (-73.96360558899994 40.79824984200008)"
"238344170","2021-12-27T00:00:00.000","19:03:00","MANHATTAN",,"24","2",,"MULTI DWELL - PUBLIC HOUS","false",,,,"18-24","M","BLACK","994327","230100","40.79824984200008","-73.96360558899994","POINT (-73.96360558899994 40.79824984200008)"
"238344522","2021-12-27T00:00:00.000","15:48:00","BROOKLYN",,"73","0",,,"true",,,,"45-64","M","BLACK","1008795","178153","40.65563971300003","-73.91153990699996","POINT (-73.91153990699996 40.65563971300003)"
"238344523","2021-12-27T00:00:00.000","20:04:00","QUEENS",,"115","0",,,"false",,,,"25-44","M","WHITE HISPANIC","1019521","212908","40.75099770800006","-73.87270083099996","POINT (-73.87270083099996 40.75099770800006)"
"238344523","2021-12-27T00:00:00.000","20:04:00","QUEENS",,"115","0",,,"true",,,,"18-24","M","WHITE HISPANIC","1019521","212908","40.75099770800006","-73.87270083099996","POINT (-73.87270083099996 40.75099770800006)"
"238344523","2021-12-27T00:00:00.000","20:04:00","QUEENS",,"115","0",,,"false",,,,"18-24","M","WHITE HISPANIC","1019521","212908","40.75099770800006","-73.87270083099996","POINT (-73.87270083099996 40.75099770800006)"
"238344171","2021-12-27T00:00:00.000","14:41:00","BROOKLYN",,"67","0",,,"false",,,,"18-24","M","BLACK","998588","172194","40.639305956000044","-73.94833915399995","POINT (-73.94833915399995 40.639305956000044)"
"238312743","2021-12-26T00:00:00.000","04:07:00","BRONX",,"44","0",,,"true","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1008208","242974","40.83355862400003","-73.91342459999998","POINT (-73.91342459999998 40.83355862400003)"
"238318425","2021-12-26T00:00:00.000","22:45:00","QUEENS",,"105","0",,"PVT HOUSE","true",,,,"25-44","M","BLACK","1054784","197662","40.70894037100004","-73.74558943499993","POINT (-73.74558943499993 40.70894037100004)"
"238312741","2021-12-26T00:00:00.000","22:20:00","QUEENS",,"103","0",,"MULTI DWELL - PUBLIC HOUS","false",,,,"18-24","M","BLACK","1041521","192400","40.69459323800004","-73.79347284999993","POINT (-73.79347284999993 40.69459323800004)"
